Question,Answering,URL,Label
"My professor gives a pop quiz or short test during part of the class period. How does this work with my accommodations?
","Quizzes can be complicated to accommodate, especially if you do not know about them in advance. It’s important to work out the details early in the semester when you see on your syllabus that there will be quizzes in addition to regular exams. 

Many students decide not to use their accommodations on quizzes since they are typically short, and students would have to leave class to go to their eligible testing center. However, it is your choice, and if you do need to use your accommodations, they should be made available to you. 

If you decide you want to use your testing accommodations for quizzes and you know about them in advance, ask the professor if you can take the quiz earlier or later than the class period in a location they provide. If you are eligible to test at the ARC, then you may submit the appropriate test scheduling form. 

If you need a reader, scribe, digital text or any other accommodations that require significant lead time, it is extremely important to discuss these accommodations with the ARC and your professors as soon as possible for quizzes especially pop quizzes. 

The quizzes often are given after class starts; for example, if the class starts at 10 a.m., the test might begin at 10:30 a.m. If you are eligible to take the test at the ARC Testing Center, you are required to start all tests, exams or quizzes on the hour (e.g., 9 a.m., 10 a.m., etc.). In this situation, you will need to get clearance from the professor to take the quiz at any time the ARC Testing Center is open the same date the class takes the quiz or test. 

If you schedule the test earlier or later than the class with the ARC and the professor approves, you will need to begin the test promptly at the start time you reserved. In other words, you cannot schedule a test at 10 a.m. in the ARC then show up at 10:30 a.m. to take the quiz when the rest of the class starts. If you are more than 15 minutes late for your scheduled testing time, you will not be allowed to test. 

Some professors like to discuss the questions on the quiz during class when students are finished. If you arrange to take the quiz after the class due to an accommodation, you must leave the classroom when such discussions occur. 

Faculty are sometimes using quizzes to check attendance (possibly by using clickers). If this is the case, contact the ARC as early as possible so we can work with you and the instructor to identify accommodation options.",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility
I’ve never been asked to do this. Why am I just now seeing a request like this? ,"It is essential to consider this type of new accommodation because the risks associated with the COVID-19 virus can be so great to certain students. 
",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility
"Why can’t this student just show up to take tests? 
","The documentation provided by the student indicates substantial risk for being in crowds and environments that potentially create significant viral spread; therefore, even coming to class just to take an exam would not be reasonable. 
",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility
My class has attendance requirements because students are graded while I observe what they are doing and they must access specialized lab equipment that cannot be moved. How can I allow remote learning? ,"In rare cases, it can be a fundamental alteration of your class, which is not required even by accommodation. However, to make this decision it is essential that faculty consult with their department/program heads and the Accessibility Resource Center before denying an accommodation. 

",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility
Online tests compromise my exam security. Why can’t these students take their exams on campus at the Accessibility Resource Center? ,The ARC testing facilities are now limited to students with accommodations requiring adaptive technology or other more specialized needs. The facilities are not large enough to provide social distancing for more than a minimal number of test takers.This semester we recommend that professors consider giving online exams for all students eligible to take a test with accommodations. Faculty still may use Honorlock or other remote proctoring services.,https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility
"How should I talk to my professor about class absences? 
","We recommend students talk to professors to help bridge the gap between a personal/family situation, illness or injury, or any other matters that may be impacting ability to temporarily attend classes, focus on classwork, and/or meet academic deadlines. 

To assist with communications, we recommend the following tips to students: 

Email professor to convey initial situation. 
Discreet language you can use: “medical reasons,” “unexpected personal situation,” “on-going health needs,” “family situation,” etc. 
Utilize professor’s office hours or ask to schedule an appointment to follow up about missed coursework. 
Share documentation that can verify dates and situations. 
Plan ahead to discuss missed work (quizzes, assignments, exams, class participation). 
Try to create an action plan with the professor after meeting/talking. 
Continue to follow up with professors for additional missed classes. 
Example letter to professors: 
Dear Professor Smith, 

I am writing to share with you that I have not been able to attend your class [Course name/Unique #] on the following dates [Insert dates here] due to [insert situation here: e.g., illness/flu] situation. 

I am sorry that I have not been able to attend class; the situation was unexpected, but I have been trying to catch up on course work as best as possible. I can provide documentation to verify the situation, if needed. 

Can we set up a time to meet and discuss missed work and possible next steps? 

Thank you in advance for your time. I look forward to talking to you soon. 

Sincerely,
Your name
EID ",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility
What transportation services are available for people with disabilities on and around campus? ,"There are a few transportation services available: 

Comet Cruiser:
883 Route Map (pdf)
883 Route Schedule
DART Paratransit Services
Campus Map",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility
What are the dates of my housing agreement?,The dates of the housing agreement are found on the University Housing homepage.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
Can I rent an entire two-bedroom apartment for myself?,"The University of Texas at Dallas provides housing on an individual contracted basis. We offer housing options based on one bed per student, and we do not allow a student to reserve more than one bedroom except in limited cases for family housing, if available. If a student wishes to live alone, a student may select from the available 1-bedroom unit options on campus.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
Is renters insurance required?,Residents are strongly encouraged to purchase some kind of insurance plan to cover potential losses or liability for their belongings while living on campus. Click here for more information (pdf).,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
What I should I bring?,"    Alarm clock
    Bed sheets
        The University Commons residence halls have Twin XL beds
        Canyon Creek Heights North has Twin XL beds
        Canyon Creek Heights South has full-sized beds
    Cleaning supplies (toilet cleaner, laundry detergent, dish detergent, etc.)
    Computer or laptop
    First aid kit
    Plunger
    Shower curtain/liner
    Small tool kit (screwdriver, hammer, a selection of nails and screws, etc.)
    Toilet paper
    Toiletries
    Towels

University Village and Canyon Creek Heights apartment residents should bring kitchen supplies (pots, pans, plates, utensils, can openers, grocery and pantry items, etc.)

University Village apartment residents should also bring furniture (bed, couch, dining table, etc.)",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
Are vehicles allowed on campus?,Residents may bring a vehicle to campus. Parking decals are required and may be purchased from the Parking Office. The apartments and residence halls have designated parking locations. Visit the parking website for more information.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
How do I pay my rent?,All University Housing charges are placed on the resident’s university bill and are paid through the Bursar. Please contact the Bursar for questions about your bill or payments.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
How do I request rental verification?,"Housing Statements are available through Galaxy. The tool is available under Orion Self-Service (Student) > Orion Student Center > Bursar Account > Account Statement. Choose the term, then click “View Account Detail.” This will open the statement for that term.

The statement is considered an official UT Dallas statement and includes the UT Dallas logo. Print this statement to provide an official housing statement, to submit to employers for reimbursement, or to keep for your own official records.

University Housing and the Bursar Office do not print housing statements.

To request rental history request for dates prior to Fall 2018 (when University Housing’s billing was managed by American Campus Communities), email housing@utdallas.edu with the following information: student name, student number or NetID, and dates for which a rental history is needed.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
How do I get assistance after hours?,"Please contact a Peer Advisor, one of the Peer Advisors on call, or one of University Commons’ 24-hour front desks.

If a student wants/needs help with any kind of emotional distress after hours, they can call the Counseling Center’s after hours helpline, “UTD TALK” at 972-883-8255.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
"Will I have access to all clubhouses, pools and study rooms?","Yes, residents have access to all clubhouses, pools and study centers in the housing community.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
What dining options are available?,Visit UT Dallas Dining Services for information about dining on campus.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
What security measures are in place?,"UT Dallas Police provide frequent patrols throughout University Housing. University Housing management does not assume any legal obligations for personal injury, loss or damage to personal property. You and/or your parents are encouraged to carry appropriate insurance to cover such losses.

Anyone with a cell phone can register via Galaxy to receive text alerts in the event of an emergency or disruption to normal university operations.

For sexual assault emergencies after business hours, please call the 24-hour rape crisis hotline at 972-641-7273. You will be connected with a sexual assault advocate from the Dallas Area Rape Crisis Center.

    Sexual Assault Recovery Services",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
Missing Residential Student Policy,The purpose of this policy is to establish procedures for the university’s response to reports of missing residential students as required by the Higher Education Opportunity Act of 2008. This policy applies to all students who live in University Housing. Download the Missing Residential Student Form.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
I am having issues with my roommate.  What do I do?,"Talk to your roommate about the issues you are experiencing. If nothing is resolved after speaking to your roommate face-to-face, speak with your Peer Advisor.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
What is a roommate agreement?,"A roommate agreement is a document all members of the apartment/suite/room abide by during their time living in the space. Contents of the agreement are determined by the roommates and cover multiple areas, including cleaning tasks, taking out the trash and guest policies.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
How do I set up a roommate agreement?,"At the beginning of each academic year, Peer Advisors will coordinate with residents to complete a roommate agreement for the apartment/suite/room. If a new resident moves in, Peer Advisors will work with the student to set up or reevaluate the roommate agreement as necessary.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
How can I get involved in University Housing?,"Residential Life sponsors two student organizations in University Housing:

    Residential Housing Association (RHA)
    National Residence Housing Honorary (NRHH)

Both organizations provide students with leadership opportunities in the residence halls and apartments.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
How can I become a Peer Advisor (PA)?,"The Peer Advisor application process begins at the end of the fall semester, with applications due in January. If you are interested in becoming a PA, contact housing@utdallas.edu. Check out our Facebook page for details.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
How do I request a housing accommodations based on documented disabilities or medical conditions?,"UT Dallas provides reasonable housing accommodations for students with documented disabilities or medical conditions. If you have a disability and want to request housing accommodations, please visit the Office of Student Accessibility website.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
How does a student organization reserve a room in University Housing?,"Registered student organizations can reserve the Residence Hall South Classroom, Residence Hall South Multipurpose Room, and Residence Hall South Rotunda. Student organizations must make the reservation through the UT Dallas Room Reservation System.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
How does a student reserve a room in University Commons?,Students may reserve a room for a personal event in the residence hall in which they reside. Reservation requests must be received at least five business days prior to the event date. Contact Ashleigh Beckmann to make the reservation.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
How does a department reserve a room in University Housing?,Departments can make room reservations for student-focused events by contacting Ashleigh Beckmann.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing
Why do I have to pay for parking? Doesn’t tuition or student fees cover this cost?,"Every student, faculty and staff member must purchase a permit to park on UT Dallas property. UTD Parking & Transportation is self-funded.

Student tuition and fees are not allotted for UTD’s parking budget.

Parking permit sales provide us with the necessary funds to build new parking structures, repave parking lots, improve services and provide general maintenance.",https://services.utdallas.edu/transit/parkfaq/,Parking
"If I decide to return to campus at a later date, are parking permit prices prorated in cost?","All parking permit purchases are valid from the date of purchase through August 31 of the current academic year. Parking permits are prorated in cost throughout the academic year. For students, parking permits are prorated in December and in May to reflect Spring and Summer prices. For employees, permits are prorated on the first of each month.",https://services.utdallas.edu/transit/parkfaq/,Parking
"If I purchase a parking permit now, can I upgrade or downgrade my permit in the future?","Yes, you may upgrade or downgrade your permit at any time. Upgrades require a one-time additional payment equal to the difference in value between your current and your new permit. Downgrades may be entitled to a refund, depending on your original purchase method. Please contact us for options specific to your account and permit type.",https://services.utdallas.edu/transit/parkfaq/,Parking
I am a student living on campus. Can I park more than one vehicle on campus this year?,"No, Apartment and Residence Hall permits are limited to only one permit per resident to ensure parking availability for all students living on campus.",https://services.utdallas.edu/transit/parkfaq/,Parking
"I am a commuter student, but I am taking classes mostly online. Do I still need to purchase a parking permit?","When on campus, you must be legally parked at all times to avoid parking citations. When parking on campus, you may either utilize the hourly pay-by-space metered parking spaces, or purchase an annual parking permit.",https://services.utdallas.edu/transit/parkfaq/,Parking
How many parking garages are there? Where is PS2? Do I need a separate permit to use the parking garages?,"There are currently three parking structures. PS1 on the east side of campus, PS3 on the north side of campus and PS4 on the west side of campus.

PS2 is not built or available at this time. PS2 is currently still in the planning stage and was not elected to be built at the time of design and construction began on PS3 instead.

Parking structures can be used by any commuter parking permit and no special garage permit is required. Residential permits are not valid in the parking garages.",https://services.utdallas.edu/transit/parkfaq/,Parking
What if I need to park close to a building to drop off or unload a vehicle?,"Loading zones are available throughout campus. Loading zones may be used without a parking permit for up to 20 minutes as long as you have your emergency flashers engaged on your vehicle. Please do not block roads, reserves spaces, crosswalks, etc. when loading and unloading.

Download a Map of Campus Loading Zones",https://services.utdallas.edu/transit/parkfaq/,Parking
Where is the free parking?,"There is no free parking on the UT Dallas campus for students, faculty or staff.

For those wishing to use public transportation, there are nearly 2,000 free parking spaces available at the Cityline/Bush Train Station Park-and-Ride at 1300 E President George Bush Tpke, Richardson, TX 75082. From there, users may ride the Comet Cruiser bus line to campus, free of charge and with no transit pass nor UTD ID required to ride.

Visitors to the campus may obtain a complimentary one-day visitor pass, valid in Visitor or Green spaces, by presenting a valid photo ID at the Visitor Center and University Bookstore (VCB) or at our office. Visitors may receive two free permits per week.

We also have Pay-by-Space credit/debit parking meters available in popular areas such as Lot M-West, Lot G, Lot F and on the first level of each parking structure.",https://services.utdallas.edu/transit/parkfaq/,Parking
How does Visitor parking work?,"Visitors to the campus may obtain a complimentary one-day visitor pass from the Visitor Center or the Parking & Transportation Services office. A current driver’s license must be presented to obtain a visitor pass.

Visitors to the campus may receive two complimentary parking passes per week. This will allow visitors to park in any Visitor or Green space for the date of issuance only.

Visitor permits for the University Commons Residence Halls, University Village Apartments or Canyon Creek Heights Apartments may also be obtained by request.

To obtain a visitor permit for a housing guest, both the guest and the resident need to come to the Parking Office with valid photo IDs and the guest’s license plate information. A housing guest may receive up to two visitor passes per week and two overnight parking passes per month.

Long-term visitor permits (more than two weekdays) can be purchased at prorated rates from our office. Please note that overnight visitors to on-campus housing are limited to two nights per month, unless written permission is obtained from the student’s housing office.

For more convenient parking, we also have Pay-by-Space credit/debit parking meters available in popular areas such as Lot G, Lot F and on the first level of each parking structure.",https://services.utdallas.edu/transit/parkfaq/,Parking
How do I know if there are any parking lot or garage closures?,"We have an active Twitter account, @UTDallasParking, that regularly updates any information on parking or garage closures. We also have Twitter accounts for the Comet Cabs (@UTDCometCab) and the Comet Cruisers (@UTDCometCruiser) where we provide updates on new routes, schedule delays, or route detours or cancellations.",https://services.utdallas.edu/transit/parkfaq/,Parking
How can I purchase a parking permit?,"Permits can be purchased online.

You may also purchase your permit in person at our office. If you will be coming to our office, a valid state-issued photo ID, driver’s license or student ID must be presented.

To purchase a parking permit, you will need to provide your vehicle license plate state and number, vehicle make, model, color, and year. If you purchase your permit in-person at our office, please be advised that we do not accept cash or checks. We only accept debit and credit cards.

Permits are required for all vehicles to park on UT Dallas owned or leased property regardless of whether you are an online student, part-time student, full-time student, faculty, staff or visitor.",https://services.utdallas.edu/transit/parkfaq/,Parking
What about accessible parking?,"A UT Dallas Accessible Parking Permit, in addition to a state-issued accessible parking placard or license plate, is required to park in accessible parking spaces on campus.

Please see our Accessible Services page for more information.",https://services.utdallas.edu/transit/parkfaq/,Parking
Why do we have different parking permits?,"Parking designates different lots based on whether students live on campus or commute to campus.

Residential parking is separated between the University Commons Residence Halls, University Village Apartments and Canyon Creek Heights Apartments. Apartment and Residence Hall permits are only valid in their specific lots, as well as Green parking in certain remote parking areas.",https://services.utdallas.edu/transit/parkfaq/,Parking
Where You Can Use Residential Parking Permits >,"Housing students may also purchase a commuter Gold or Orange permit if they choose, but they may not park overnight on the main campus and must return to their on-campus housing parking lot at the end of the day.

For commuters, faculty, and staff, parking is on a progressing scale system with Purple being the highest and Green being the lowest.

Purple permits can park in
Purple parking
Orange parking
Gold parking
Green parking
Orange permits can park in
Orange parking
Gold parking
Green parking
Gold permits can park in
Gold parking
Green parking
Green permits can only park in Green parking
Commuter students may purchase Green, Gold, Evening Orange or Orange parking permits. Evening Orange allows you to park in Orange spaces after 5:00 p.m. Before 5:00 p.m., Evening Orange permits may park in only Gold and Green spaces.

Staff and Faculty have access to all commuter colors, but also have the option to purchase Purple permits.",https://services.utdallas.edu/transit/parkfaq/,Parking
Can I get a parking permit if I have unpaid citations?,"You may purchase a parking permit with unpaid citations, however outstanding citations may result in your account being revoked and your vehicle being immobilized or towed if parked on UT Dallas owned or leased property. If your vehicle is immobilized, your parking privileges are revoked and you may need to pay your citations first before being able to purchase your parking permit.",https://services.utdallas.edu/transit/parkfaq/,Parking
What should I do if I have two vehicles? Do I get a second permit for free?,"Only one permit can be purchased per customer via the Parking Portal. Students may have two vehicles associated with their permit, but only one vehicle parked on campus at any given time. Employees may have up to five vehicles associated with their permit.

You may add a vehicle to your account online by selecting the VEHICLES tab. You may also contact the Parking Office via email or visit our office to add a vehicle to your account. If you would like to purchase a second permit so you may park two vehicles on campus at the same time, you may purchase additional permits at the current rate in-person at our office.

Please note that students living on campus may only purchase one permit and may have only one vehicle on campus at a time.
",https://services.utdallas.edu/transit/parkfaq/,Parking
How many vehicles can I have registered to my account?,"You may have an unlimited amount of vehicles registered on your customer account, but students may have two vehicles registered to their permit, and only one vehicle may be parked on campus at any given time. Employees may have up to five vehicles registered to their permit. Only one vehicle may be parked on campus at a time, and it must have a permit always registered to it for the section where the vehicle is parked.",https://services.utdallas.edu/transit/parkfaq/,Parking
What should I do if my vehicle is being repaired? What should I do if I have a rental or temporary vehicle?,"Those who are driving a different vehicle and currently have an active parking permit have the option to register their alternate vehicle for the duration they will be driving the vehicle.

Students may have two vehicles associated with their permit, but only one vehicle parked on campus at any given time. Employees may have up to five vehicles associated with their permit.

To remove a vehicle, including rentals and temporary vehicles, you must contact the Parking Office via email, or visit our our office during business hours, and you must provide the vehicle make, model, and license plate number.

All vehicles registered to the permit owner will be the responsibility of the permit owner including all citations the vehicle receives while it is registered to the permit owner.

Current permit holders may also receive up to three one-day passes per semester as an alternative to registering a temporary vehicle. These one-day passes will be valid for the same color of spaces as your permit, and you may receive these by presenting a Comet Card or driver’s license at the Parking Office.",https://services.utdallas.edu/transit/parkfaq/,Parking
"Can I share my permit with someone else, or register other people’s vehicles to my permit?","All virtual permits are non-transferable and can only be used by the individual to whom it is assigned, and permits are attached only to the account holder. For customers who share vehicles, both customers must own their own permit, but may register shared vehicles on each individual account. Students may have two vehicles associated with their permit, but only one vehicle parked on campus at any given time. Employees may have up to five vehicles associated with their permit. Parking more than one vehicle on campus at one time may lead to citations for surpassing the vehicle limit of your permit. Any citations issued to a vehicle will be the responsibility of the permit owner.",https://services.utdallas.edu/transit/parkfaq/,Parking
"I am a faculty/staff member and I want to get my permit on Payroll Deduction, how does it work?","Eligible faculty and staff should monitor their email for directions and enrollment dates. If you are eligible for Payroll Deduction, you may purchase your permit online and select “Payroll Deduction” as your purchase method at the time of checkout. If you do not see the option for Payroll Deduction, but you believe you are eligible, please contact our office so we can confirm eligibility.",https://services.utdallas.edu/transit/parkfaq/,Parking
I am joining UT Dallas later in the year. Are prices reduced for those on campus less than a full year?,"All parking permit purchases are valid from the date of purchase through August 31 of the current academic year. Parking permits are prorated in cost throughout the academic year. For students, parking permits are prorated in December and in May to reflect Spring and Summer prices. For employees, permits are prorated on the first of each month.",https://services.utdallas.edu/transit/parkfaq/,Parking
"I am leaving UT Dallas, or I no longer need my parking permit. Can I get a refund for my parking permit?","If you are a student graduating in fall, or you no longer have a need your permit, you may return the permit for a prorated refund. Returns must be made by the Spring Census Day to be eligible for a refund. Returns after the Spring Census Day will not be approved for a refund.

If you are a faculty or staff member that purchased your permit in full, you may be eligible for a prorated refund when you leave UT Dallas. Permits purchased via Payroll Deduction are not eligible for refunds, but monthly deductions can be canceled by canceling your permit with our office.

You can return your permit by contacting park@.utdallas.edu and requesting a permit return form.",https://services.utdallas.edu/transit/parkfaq/,Parking
What are your office hours?,Current Office Hours >,https://services.utdallas.edu/transit/parkfaq/,Parking
"My family is coming to visit me at my residence, what do I need to do?","If you are resident living in University Village Apartments, Canyon Creek Heights Apartments, or University Commons Residence Halls and you need to arrange parking for a guest visiting your residence, permits can also be requested online in advance and emailed to you as a PDF document that you may email to your guest to be printed. To request an emailed permit, complete a permit request form online two business days in advance of the guest arrival. A visitor parking pass is required Monday-Thursday from 9:00 a.m. - 9:00 p.m. and Friday from 9:00 a.m. - 5:00 p.m. in the housing parking areas.

Non-sponsored visitors to campus may utilize our metered parking available throughout different areas of our campus, or contact park@utdallas.edu for more options.

Please contact the Parking Office for any questions or concerns about visitor parking.

Please note that a visitor permit is not required for Green, University Village Apartments, Canyon Creek Heights Apartments, or University Commons Residence Halls parking areas outside of enforcement hours:

Monday-Thursday from 9:00 a.m. - 9:00 p.m.
Friday from 9:00 a.m. - 5:00 p.m.
A VISITOR PERMIT IS ALWAYS NEEDED DURING THE ABOVE TIMES TO AVOID PARKING CITATIONS",https://services.utdallas.edu/transit/parkfaq/,Parking
How do I add or update a vehicle on my parking account?,"You may add a vehicle to your account online by selecting the VEHICLES tab. You may also contact the Parking Office via email or visit our office and let us know you want to add a vehicle to your account.

You will need to provide your vehicle’s license plate state and number, make, model, color, and year of your vehicle to add it to your account.",https://services.utdallas.edu/transit/parkfaq/,Parking
How do I remove a vehicle from my parking account?,"Contact the Parking & Transportation department via via email or visit our office during business hours, and you must provide the vehicle make, model, and license plate number. We cannot remove vehicles over the phone.",https://services.utdallas.edu/transit/parkfaq/,Parking
Where is the Parking Office located?,"We are located in Parking Structure 3 (PS3), at the intersection of Rutford Ave and Loop Road NW on the North end of campus, East of the Residence Halls.

Our physical address is:

800 N. Loop Rd, Richardson TX, 75080.

Our mailing address is:

The University of Texas at Dallas

Parking & Transportation

800 W Campbell Rd, PS3 10

Richardson, TX 75080-3021",https://services.utdallas.edu/transit/parkfaq/,Parking
Why did I get a citation?,"Check the citation in the “Violation” section to see the reasoning. Some citations are warnings only and are used to inform you of a problem. If you feel you do not deserve the citation then you may submit an appeal online. We do not do any in-person appeals.

Any appeal not granted must be paid online or in person at our office. Please be advised, appeals must be submitted within 14 calendar days from the date the citation was issued. However, an appeal does not guarantee an automatic dismissal of the citation.",https://services.utdallas.edu/transit/parkfaq/,Parking
I parked legally but still got a citation. What can be done about it?,"There are various reasons why a citation can be issued. You may be parked in your permit’s designated area, but could be breaking one of our parking rules or policies.

You may appeal the citation online. Again, appeals do not guarantee an automatic dismissal of a citation.",https://services.utdallas.edu/transit/parkfaq/,Parking
What happens if I do not pay my parking citations? Can you put a hold on my student account?,"After 14 days the citation will increase from overdue charges. In addition, the citation will have a recurring monthly late fee that is added until the balance is paid in full.

Accumulated or overdue parking citations will place a hold on student accounts, thus not allowing a student to receive transcripts or receive their diploma. Faculty and staff may be subject to other disciplinary measures.",https://services.utdallas.edu/transit/parkfaq/,Parking
